circuitRef,circuitLaps,circuitDist
okayama,83,307.349
donington,76,305.748
magny_cours,72,306.0
phoenix,75,285.0
jerez,72,303.696
adelaide,82,309.96
dallas,67,261.37
estoril,70,304.5
detroit,62,258.428
las_vegas,75,273.75
jacarepagua,63,316.953
long_beach,80,260.08
fuji,73,318.207
dijon,80,263.12
zolder,70,295.379
anderstorp,80,321.44
nivelles,85,316.2
montjuic,90,341.19
jarama,90,306.36
tremblant,90,383.85
kyalami,80,327.52
lemans,80,354.4
mosport,90,356.13
charade,40,322.2
brands_hatch,80,341.2
zeltweg,105,336.0
george,82,321.415
watkins_glen,100,378.0
riverside,75,395.325
avus,not found,not found
monsanto,62,337.28
sebring,42,351.0
boavista,50,370.0
ain-diab,53,403.754
pescara,18,460.42
aintree,90,434.52
galvez,97,379.464
essarts,77,392.7
pedralbes,70,442.12
indianapolis,not found,not found
bremgarten,42,305.76
reims,64,500.16
valencia,57,308.883
yeongam,55,309.155
buddh,60,307.249
sepang,56,310.408
shanghai,56,305.066
hockenheimring,64,292.736
mugello,59,309.497
nurburgring,60,308.617
portimao,66,306.826
sochi,53,309.745
istanbul,58,309.396
imola,63,309.049
ricard,53,309.626
bahrain,57,308.238
jeddah,50,308.45
albert_park,58,306.124
baku,51,306.049
miami,57,308.326
monaco,78,260.286
catalunya,66,307.236
villeneuve,70,305.27
red_bull_ring,71,306.452
silverstone,52,306.198
hungaroring,70,306.63
spa,44,308.052
zandvoort,72,306.587
monza,51,295.134
marina_bay,62,306.143
suzuka,53,307.471
losail,57,308.611
americas,56,308.405
rodriguez,71,305.354
interlagos,71,305.879
vegas,50,309.958
yas_marina,58,306.183
