year,round,weather,weatherWarm,weatherCold,weatherDry,weatherWet,weatherCloudy
2009,1,Sunny with temperatures reaching up to 27 °C (81 °F)[2],1,0,0,0,0
2009,2,"Dry start, with heavy rain and thunderstorm/monsoon later",0,0,1,1,0
2009,3,Rain,0,0,0,1,0
2009,4,Sunny,1,0,0,0,0
2009,5,"Warm, Sunny",1,0,0,0,0
2009,6,Sunny,1,0,0,0,0
2009,7,Sunny,1,0,0,0,0
2009,8,"Dry, overcast",0,0,1,0,1
2009,9,Sunny and overcast,1,0,0,0,1
2009,10,Sunny25 °C (77 °F)[3],1,0,0,0,0
2009,11,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1],1,0,1,0,0
2009,12,Clear but Mild,1,0,0,0,0
2009,13,Mainly sunny,1,0,0,0,0
2009,14,Hot and Dry,1,0,1,0,0
2009,15,"Sunny, Dry",1,0,1,0,0
2009,16,Partially cloudy and dry,0,0,1,0,1
2009,17,Dry,0,0,1,0,0
2008,1,"Clear, dry, air temperature of 39 °C (102 °F).",1,0,1,0,0
2008,2,"Sunny, partly cloudy",1,0,0,0,1
2008,3,Dry,0,0,1,0,0
2008,4,Sunny,1,0,0,0,0
2008,5,Sunny with temperatures reaching up to 17 °C (63 °F)[3],1,0,0,0,0
2008,6,"Wet, drying later.",0,0,1,1,0
2008,7,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1],1,0,0,0,0
2008,8,Dry at first; light rain in the final stages,0,0,1,1,0
2008,9,"Rain, later drying",0,0,1,1,0
2008,10,"Cloudy, later sunny[1]",1,0,0,0,1
2008,11,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)",1,0,0,0,0
2008,12,Sunny,1,0,0,0,0
2008,13,"Cloudy, rain in last 3 laps",0,0,0,1,1
2008,14,"Heavy rain, dry towards the end",0,0,1,1,0
2008,15,"Dry, Air Temp: 28 °C (82 °F), Wind Speed: 2.2 metres per second (7.2 ft/s), Humidity: 79%",0,0,1,0,0
2008,16,Cloudy with temperatures reaching up to 17 °C (63 °F)[4],0,0,0,0,1
2008,17,Dry,0,0,1,0,0
2008,18,"Rain at beginning and end, otherwise drying",0,0,1,1,0
2007,1,Clear with temperatures reaching up to 21 °C (70 °F)[1],1,0,0,0,0
2007,2,Sunny[1],1,0,0,0,0
2007,3,"Sunny, dry, windy",1,0,1,0,0
2007,4,Sunny and warm,1,0,0,0,0
2007,5,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",0,0,0,0,1
2007,6,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],1,0,0,0,0
2007,7,Warm (33C/91F) and clear,1,0,0,0,0
2007,8,Cloudy,0,0,0,0,1
2007,9,Dry and sunny,1,0,1,0,0
2007,10,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,0,0,1,1,0
2007,11,"Sunny, temperatures reaching up to 27 °C (81 °F)[4]",1,0,0,0,0
2007,12,Sunny,1,0,0,0,0
2007,13,Sunny,1,0,0,0,0
2007,14,"Partly cloudy, mild and dry",1,0,1,0,1
2007,15,Very heavy rain,0,0,0,1,0
2007,16,Intermittent light rain,0,0,0,1,0
2007,17,"37 °C (Air), 63 °C (Track)",0,0,0,0,0
2006,1,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)",1,0,1,0,0
2006,2,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%",1,0,0,0,0
2006,3,Cloudy with sunny breaks. Air temperature 20°C,1,0,0,0,1
2006,4,Sunny,1,0,0,0,0
2006,5,not found,0,0,0,0,0
2006,6,Sunny,1,0,0,0,0
2006,7,Fine,1,0,0,0,0
2006,8,Sunny,1,0,0,0,0
2006,9,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1],1,0,0,0,0
2006,10,"Sunny, hot",1,0,0,0,0
2006,11,"Sunny, warm",1,0,0,0,0
2006,12,"Sunny, warm",1,0,0,0,0
2006,13,Cool and rainy with temperatures reaching up to 20 °C (68 °F)[4],0,1,0,1,0
2006,14,"Sunny, hot",1,0,0,0,0
2006,15,Warm and sunny with temperatures reaching up to 27 °C (81 °F)[1],1,0,0,0,0
2006,16,"Cloudy, wet track that progressively dried up.Rainy during the last few laps.",0,0,0,1,1
2006,17,Fine,1,0,0,0,0
2006,18,Temperatures reaching up to 23 °C (73 °F)[1],0,0,0,0,0
2005,1,"Cool, partly cloudy",0,1,0,0,1
2005,2,"Fine, Air: 34–36°C (93–97°F) and Track: 44–50°C (111–122°F)",1,0,0,0,0
2005,3,"Sunny, 42 °C (108 °F)[1]",1,0,0,0,0
2005,4,Warm and cloudy,1,0,0,0,1
2005,5,"Sunny, warm",1,0,0,0,0
2005,6,Fine,1,0,0,0,0
2005,7,"Partly cloudy, hot and dry",1,0,1,0,1
